絏,虏嘿,る,害禴碩%
SB56   ,瓣NASDAQ Composite计,20221205,  -1.9331
SB5602 ,瓣NASDAQ 100计,20221205,  -1.7297
SB57   ,瓣NASDAQ Computer计,20221205,  -1.4656
SB56   ,瓣NASDAQ Composite计,20221206,  -2.0022
SB5602 ,瓣NASDAQ 100计,20221206,  -2.0117
SB57   ,瓣NASDAQ Computer计,20221206,  -2.4195
SB56   ,瓣NASDAQ Composite计,20221207,  -0.5115
SB5602 ,瓣NASDAQ 100计,20221207,  -0.4527
SB57   ,瓣NASDAQ Computer计,20221207,  -0.7719
SB56   ,瓣NASDAQ Composite计,20221208,   1.1265
SB5602 ,瓣NASDAQ 100计,20221208,   1.2186
SB57   ,瓣NASDAQ Computer计,20221208,   1.4748
SB56   ,瓣NASDAQ Composite计,20221209,  -0.6982
SB5602 ,瓣NASDAQ 100计,20221209,  -0.6373
SB57   ,瓣NASDAQ Computer计,20221209,  -0.6018
SB56   ,瓣NASDAQ Composite计,20221212,   1.2642
SB5602 ,瓣NASDAQ 100计,20221212,   1.2376
SB57   ,瓣NASDAQ Computer计,20221212,   1.8717
SB56   ,瓣NASDAQ Composite计,20221213,   1.0147
SB5602 ,瓣NASDAQ 100计,20221213,   1.0915
SB57   ,瓣NASDAQ Computer计,20221213,   1.6784
SB56   ,瓣NASDAQ Composite计,20221214,  -0.7633
SB5602 ,瓣NASDAQ 100计,20221214,  -0.7883
SB57   ,瓣NASDAQ Computer计,20221214,  -0.8533
SB56   ,瓣NASDAQ Composite计,20221215,  -3.2259
SB5602 ,瓣NASDAQ 100计,20221215,  -3.3703
SB57   ,瓣NASDAQ Computer计,20221215,  -4.0097
SB56   ,瓣NASDAQ Composite计,20221216,  -0.9724
SB5602 ,瓣NASDAQ 100计,20221216,  -0.8946
SB57   ,瓣NASDAQ Computer计,20221216,  -1.0035
SB56   ,瓣NASDAQ Composite计,20221219,  -1.4888
SB5602 ,瓣NASDAQ 100计,20221219,  -1.4153
SB57   ,瓣NASDAQ Computer计,20221219,  -1.7881
SB56   ,瓣NASDAQ Composite计,20221220,   0.0102
SB5602 ,瓣NASDAQ 100计,20221220,  -0.1098
SB57   ,瓣NASDAQ Computer计,20221220,   0.2123
SB56   ,瓣NASDAQ Composite计,20221221,   1.5384
SB5602 ,瓣NASDAQ 100计,20221221,   1.4763
SB57   ,瓣NASDAQ Computer计,20221221,   1.6684
SB56   ,瓣NASDAQ Composite计,20221222,  -2.1780
SB5602 ,瓣NASDAQ 100计,20221222,  -2.4897
SB57   ,瓣NASDAQ Computer计,20221222,  -2.7703
SB56   ,瓣NASDAQ Composite计,20221223,   0.2075
SB5602 ,瓣NASDAQ 100计,20221223,   0.2675
SB57   ,瓣NASDAQ Computer计,20221223,   0.1643
SB56   ,瓣NASDAQ Composite计,20221227,  -1.3777
SB5602 ,瓣NASDAQ 100计,20221227,  -1.4832
SB57   ,瓣NASDAQ Computer计,20221227,  -1.4261
SB56   ,瓣NASDAQ Composite计,20221228,  -1.3517
SB5602 ,瓣NASDAQ 100计,20221228,  -1.3229
SB57   ,瓣NASDAQ Computer计,20221228,  -1.7525
SB56   ,瓣NASDAQ Composite计,20221229,   2.5927
SB5602 ,瓣NASDAQ 100计,20221229,   2.5443
SB57   ,瓣NASDAQ Computer计,20221229,   3.0216
SB56   ,瓣NASDAQ Composite计,20221230,  -0.1108
SB5602 ,瓣NASDAQ 100计,20221230,  -0.1031
SB57   ,瓣NASDAQ Computer计,20221230,  -0.1061
SB56   ,瓣NASDAQ Composite计,20230103,  -0.7595
SB5602 ,瓣NASDAQ 100计,20230103,  -0.7050
SB57   ,瓣NASDAQ Computer计,20230103,  -0.9354
SB56   ,瓣NASDAQ Composite计,20230104,   0.6910
SB5602 ,瓣NASDAQ 100计,20230104,   0.4802
SB57   ,瓣NASDAQ Computer计,20230104,  -0.0239
SB56   ,瓣NASDAQ Composite计,20230105,  -1.4679
SB5602 ,瓣NASDAQ 100计,20230105,  -1.5903
SB57   ,瓣NASDAQ Computer计,20230105,  -2.0791
SB56   ,瓣NASDAQ Composite计,20230106,   2.5623
SB5602 ,瓣NASDAQ 100计,20230106,   2.7849
SB57   ,瓣NASDAQ Computer计,20230106,   2.7447
SB56   ,瓣NASDAQ Composite计,20230109,   0.6279
