證券名稱,簡稱,年月日,外資買賣超(千股),投信買賣超(千股),自營買賣超(千股)
2305   ,全友         ,20221205,      309,        0,        0
2809   ,京城銀       ,20221205,      687,        0,      -21
Y9999  ,加權指數     ,20221205,    46944,    11096,     1143
2305   ,全友         ,20221206,     -546,        0,       54
2809   ,京城銀       ,20221206,     -462,        0,      -10
Y9999  ,加權指數     ,20221206,  -261481,     2652,   -29008
2305   ,全友         ,20221207,      138,        0,      168
2809   ,京城銀       ,20221207,      482,        0,       -3
Y9999  ,加權指數     ,20221207,    51621,   -14882,    -8527
2305   ,全友         ,20221208,      -41,        0,       50
2809   ,京城銀       ,20221208,     1490,        2,       -4
Y9999  ,加權指數     ,20221208,  -153357,    21918,    -2058
2305   ,全友         ,20221209,     -344,        0,       71
2809   ,京城銀       ,20221209,     1554,        0,        0
Y9999  ,加權指數     ,20221209,   123518,     2756,     4516
2305   ,全友         ,20221212,       65,        0,       83
2809   ,京城銀       ,20221212,      130,        0,        0
Y9999  ,加權指數     ,20221212,   -75675,    10820,    -6317
2305   ,全友         ,20221213,     -328,        0,       60
2809   ,京城銀       ,20221213,      425,       -3,       -2
Y9999  ,加權指數     ,20221213,  -121370,    17697,    -7059
2305   ,全友         ,20221214,      152,        0,        3
2809   ,京城銀       ,20221214,     1053,       -5,       57
Y9999  ,加權指數     ,20221214,   161466,    14475,    31281
2305   ,全友         ,20221215,     -225,        0,       55
2809   ,京城銀       ,20221215,     -755,     1503,       68
Y9999  ,加權指數     ,20221215,    13360,    16072,    -1577
2305   ,全友         ,20221216,     -139,        0,      104
2809   ,京城銀       ,20221216,    -7890,     9456,      -74
Y9999  ,加權指數     ,20221216,  -135747,   -57321,   -48890
2305   ,全友         ,20221219,       44,        0,        0
2809   ,京城銀       ,20221219,   -15365,     9450,      -54
Y9999  ,加權指數     ,20221219,  -311461,   -33856,   -30936
2305   ,全友         ,20221220,      106,        0,        0
2809   ,京城銀       ,20221220,    -9008,     9625,       25
Y9999  ,加權指數     ,20221220,  -131595,   -14320,   -44026
2305   ,全友         ,20221221,       -4,        0,        0
2809   ,京城銀       ,20221221,    -9456,     9709,       33
Y9999  ,加權指數     ,20221221,   -21118,     6021,   -41664
2305   ,全友         ,20221222,     -100,        0,        0
2809   ,京城銀       ,20221222,    -4827,     9921,       -2
Y9999  ,加權指數     ,20221222,   256453,   -24719,     -204
2305   ,全友         ,20221223,     -186,        0,       -4
2809   ,京城銀       ,20221223,    -2042,      123,       35
Y9999  ,加權指數     ,20221223,  -153347,    67966,   -20143
2305   ,全友         ,20221226,     -139,        0,        0
2809   ,京城銀       ,20221226,       96,       88,       25
Y9999  ,加權指數     ,20221226,   -27774,    38158,   -10879
2305   ,全友         ,20221227,       -9,        0,        0
2809   ,京城銀       ,20221227,       69,      102,        0
Y9999  ,加權指數     ,20221227,    61476,    23696,     5762
2305   ,全友         ,20221228,     -110,        0,        0
2809   ,京城銀       ,20221228,      404,      123,       54
Y9999  ,加權指數     ,20221228,   -53051,    35347,   -36401
2305   ,全友         ,20221229,      116,        0,        0
2809   ,京城銀       ,20221229,     -358,        0,       85
Y9999  ,加權指數     ,20221229,  -206267,    25403,    -4266
2305   ,全友         ,20221230,      -59,        0,        0
2809   ,京城銀       ,20221230,     -208,        0,      -76
Y9999  ,加權指數     ,20221230,    58399,     8574,    45511
2305   ,全友         ,20230103,      338,        0,       -6
2809   ,京城銀       ,20230103,     -207,        1,       11
Y9999  ,加權指數     ,20230103,   -22758,    28171,    19056
2305   ,全友         ,20230104,      106,        0,        0
2809   ,京城銀       ,20230104,     -332,        0,       20
Y9999  ,加權指數     ,20230104,     6897,      617,    21140
2305   ,全友         ,20230105,     -125,        0,       -5
2809   ,京城銀       ,20230105,       16,        0,     -113
Y9999  ,加權指數     ,20230105,   101404,    -4678,    -9193
2305   ,全友         ,20230106,       -8,        0,        0
2809   ,京城銀       ,20230106,      229,        0,       -7
Y9999  ,加權指數     ,20230106,   155566,     3818,    25594
2305   ,全友         ,20230109,       28,        0,        0
2809   ,京城銀       ,20230109,       47,        1,      -14
Y9999  ,加權指數     ,20230109,   515573,    50797,    24969
2305   ,全友         ,20230110,       39,        0,        0
2809   ,京城銀       ,20230110,      532,        0,      -22
Y9999  ,加權指數     ,20230110,   214543,    19202,    -2572
2305   ,全友         ,20230111,      171,        0,        0
2809   ,京城銀       ,20230111,      278,        0,        8
Y9999  ,加權指數     ,20230111,    87829,    11946,    18662
2305   ,全友         ,20230112,      -15,        0,        0
2809   ,京城銀       ,20230112,       -7,        1,        3
Y9999  ,加權指數     ,20230112,    -1136,    32866,     1146
2305   ,全友         ,20230113,      -35,        0,        0
2809   ,京城銀       ,20230113,      137,       -1,       -1
Y9999  ,加權指數     ,20230113,   170244,    24160,     2878
2305   ,全友         ,20230116,      101,        0,       -1
2809   ,京城銀       ,20230116,      134,        0,       18
Y9999  ,加權指數     ,20230116,   110487,     5637,     4387
2305   ,全友         ,20230117,       81,        0,       -1
2809   ,京城銀       ,20230117,      378,       -1,        0
Y9999  ,加權指數     ,20230117,   159042,   -48329,     2363
2305   ,全友         ,20230130,      182,        0,        0
2809   ,京城銀       ,20230130,     1054,        5,        4
Y9999  ,加權指數     ,20230130,   705016,    40628,    80733
2305   ,全友         ,20230131,       89,        0,        0
2809   ,京城銀       ,20230131,     -224,        1,       20
Y9999  ,加權指數     ,20230131,   190894,     8444,    32601
2305   ,全友         ,20230201,       10,        0,        0
2809   ,京城銀       ,20230201,       22,        0,        5
Y9999  ,加權指數     ,20230201,    67390,    17168,    12882
2305   ,全友         ,20230202,      233,        0,       -4
2809   ,京城銀       ,20230202,      347,        1,      -32
Y9999  ,加權指數     ,20230202,   113339,    36516,     4588
2305   ,全友         ,20230203,     -242,        0,       -1
2809   ,京城銀       ,20230203,     1219,        0,      -12
Y9999  ,加權指數     ,20230203,    15974,    -1236,    -8348
