代碼,簡稱,年月日,即期交易 - 收盤價
1      ,台北外匯     ,20221205,  30.455
1      ,台北外匯     ,20221206,  30.638
1      ,台北外匯     ,20221207,  30.662
1      ,台北外匯     ,20221208,  30.685
1      ,台北外匯     ,20221209,  30.622
1      ,台北外匯     ,20221212,  30.714
1      ,台北外匯     ,20221213,  30.724
1      ,台北外匯     ,20221214,  30.582
1      ,台北外匯     ,20221215,  30.625
1      ,台北外匯     ,20221216,  30.710
1      ,台北外匯     ,20221219,  30.740
1      ,台北外匯     ,20221220,  30.720
1      ,台北外匯     ,20221221,  30.709
1      ,台北外匯     ,20221222,  30.680
1      ,台北外匯     ,20221223,  30.712
1      ,台北外匯     ,20221226,  30.708
1      ,台北外匯     ,20221227,  30.691
1      ,台北外匯     ,20221228,  30.715
1      ,台北外匯     ,20221229,  30.732
1      ,台北外匯     ,20221230,  30.708
1      ,台北外匯     ,20230103,  30.698
1      ,台北外匯     ,20230104,  30.714
1      ,台北外匯     ,20230105,  30.710
1      ,台北外匯     ,20230106,  30.712
1      ,台北外匯     ,20230107,  30.695
1      ,台北外匯     ,20230109,  30.520
1      ,台北外匯     ,20230110,  30.463
1      ,台北外匯     ,20230111,  30.435
1      ,台北外匯     ,20230112,  30.458
1      ,台北外匯     ,20230113,  30.387
1      ,台北外匯     ,20230116,  30.268
1      ,台北外匯     ,20230117,  30.315
1      ,台北外匯     ,20230118,  30.333
1      ,台北外匯     ,20230119,  30.368
1      ,台北外匯     ,20230130,  30.137
1      ,台北外匯     ,20230131,  30.052
1      ,台北外匯     ,20230201,  29.965
1      ,台北外匯     ,20230202,  29.700
1      ,台北外匯     ,20230203,  29.720
1      ,台北外匯     ,20230204,  29.900
1      ,台北外匯     ,20230206,  29.984
1      ,台北外匯     ,20230207,  30.043
1      ,台北外匯     ,20230208,  30.060
1      ,台北外匯     ,20230209,  30.068
1      ,台北外匯     ,20230210,  30.136
1      ,台北外匯     ,20230213,  30.238
1      ,台北外匯     ,20230214,  30.215
1      ,台北外匯     ,20230215,  30.308
1      ,台北外匯     ,20230216,  30.280
1      ,台北外匯     ,20230217,  30.404
1      ,台北外匯     ,20230218,  30.410
1      ,台北外匯     ,20230220,  30.371
1      ,台北外匯     ,20230221,  30.415
1      ,台北外匯     ,20230222,  30.504
1      ,台北外匯     ,20230223,  30.405
1      ,台北外匯     ,20230224,  30.480
1      ,台北外匯     ,20230301,  30.588
1      ,台北外匯     ,20230302,  30.630
1      ,台北外匯     ,20230303,  30.627
1      ,台北外匯     ,20230306,  30.576
1      ,台北外匯     ,20230307,  30.594
1      ,台北外匯     ,20230308,  30.790
1      ,台北外匯     ,20230309,  30.810
1      ,台北外匯     ,20230310,  30.848
1      ,台北外匯     ,20230313,  30.651
1      ,台北外匯     ,20230314,  30.620
1      ,台北外匯     ,20230315,  30.592
1      ,台北外匯     ,20230316,  30.631
1      ,台北外匯     ,20230317,  30.554
1      ,台北外匯     ,20230320,  30.593
1      ,台北外匯     ,20230321,  30.563
1      ,台北外匯     ,20230322,  30.526
1      ,台北外匯     ,20230323,  30.372
1      ,台北外匯     ,20230324,  30.353
1      ,台北外匯     ,20230325,  30.388
1      ,台北外匯     ,20230327,  30.372
1      ,台北外匯     ,20230328,  30.385
1      ,台北外匯     ,20230329,  30.455
1      ,台北外匯     ,20230330,  30.461
1      ,台北外匯     ,20230331,  30.454
1      ,台北外匯     ,20230406,  30.528
1      ,台北外匯     ,20230407,  30.446
1      ,台北外匯     ,20230410,  30.452
1      ,台北外匯     ,20230411,  30.475
1      ,台北外匯     ,20230412,  30.505
1      ,台北外匯     ,20230413,  30.496
1      ,台北外匯     ,20230414,  30.465
1      ,台北外匯     ,20230417,  30.494
1      ,台北外匯     ,20230418,  30.527
1      ,台北外匯     ,20230419,  30.562
1      ,台北外匯     ,20230420,  30.612
1      ,台北外匯     ,20230421,  30.622
1      ,台北外匯     ,20230424,  30.645
1      ,台北外匯     ,20230425,  30.680
1      ,台北外匯     ,20230426,  30.725
1      ,台北外匯     ,20230427,  30.710
1      ,台北外匯     ,20230428,  30.740
1      ,台北外匯     ,20230502,  30.782
1      ,台北外匯     ,20230503,  30.746
1      ,台北外匯     ,20230504,  30.666
1      ,台北外匯     ,20230505,  30.641
1      ,台北外匯     ,20230508,  30.673
1      ,台北外匯     ,20230509,  30.702
1      ,台北外匯     ,20230510,  30.729
1      ,台北外匯     ,20230511,  30.738
1      ,台北外匯     ,20230512,  30.758
1      ,台北外匯     ,20230515,  30.813
1      ,台北外匯     ,20230516,  30.805
1      ,台北外匯     ,20230517,  30.817
1      ,台北外匯     ,20230518,  30.766
1      ,台北外匯     ,20230519,  30.682
1      ,台北外匯     ,20230522,  30.677
1      ,台北外匯     ,20230523,  30.748
1      ,台北外匯     ,20230524,  30.794
1      ,台北外匯     ,20230525,  30.790
1      ,台北外匯     ,20230526,  30.748
1      ,台北外匯     ,20230529,  30.652
1      ,台北外匯     ,20230530,  30.660
1      ,台北外匯     ,20230531,  30.766
1      ,台北外匯     ,20230601,  30.740
1      ,台北外匯     ,20230602,  30.655
1      ,台北外匯     ,20230605,  30.695
1      ,台北外匯     ,20230606,  30.728
1      ,台北外匯     ,20230607,  30.712
1      ,台北外匯     ,20230608,  30.760
1      ,台北外匯     ,20230609,  30.725
1      ,台北外匯     ,20230612,  30.754
1      ,台北外匯     ,20230613,  30.716
1      ,台北外匯     ,20230614,  30.720
1      ,台北外匯     ,20230615,  30.724
1      ,台北外匯     ,20230616,  30.708
1      ,台北外匯     ,20230617,  30.738
1      ,台北外匯     ,20230619,  30.796
1      ,台北外匯     ,20230620,  30.890
1      ,台北外匯     ,20230621,  30.920
1      ,台北外匯     ,20230626,  31.017
1      ,台北外匯     ,20230627,  31.030
1      ,台北外匯     ,20230628,  31.072
1      ,台北外匯     ,20230629,  31.078
1      ,台北外匯     ,20230630,  31.135
1      ,台北外匯     ,20230703,  31.131
1      ,台北外匯     ,20230704,  31.116
1      ,台北外匯     ,20230705,  31.152
1      ,台北外匯     ,20230706,  31.220
1      ,台北外匯     ,20230707,  31.330
1      ,台北外匯     ,20230710,  31.385
1      ,台北外匯     ,20230711,  31.320
1      ,台北外匯     ,20230712,  31.238
1      ,台北外匯     ,20230713,  31.086
1      ,台北外匯     ,20230714,  30.893
1      ,台北外匯     ,20230717,  31.052
1      ,台北外匯     ,20230718,  30.996
1      ,台北外匯     ,20230719,  31.063
1      ,台北外匯     ,20230720,  31.077
1      ,台北外匯     ,20230721,  31.240
1      ,台北外匯     ,20230724,  31.352
1      ,台北外匯     ,20230725,  31.306
1      ,台北外匯     ,20230726,  31.252
1      ,台北外匯     ,20230727,  31.238
1      ,台北外匯     ,20230728,  31.390
1      ,台北外匯     ,20230731,  31.430
1      ,台北外匯     ,20230801,  31.518
1      ,台北外匯     ,20230802,  31.625
1      ,台北外匯     ,20230804,  31.691
1      ,台北外匯     ,20230807,  31.670
1      ,台北外匯     ,20230808,  31.810
1      ,台北外匯     ,20230809,  31.750
1      ,台北外匯     ,20230810,  31.762
1      ,台北外匯     ,20230811,  31.798
1      ,台北外匯     ,20230814,  31.924
1      ,台北外匯     ,20230815,  31.935
1      ,台北外匯     ,20230816,  31.895
1      ,台北外匯     ,20230817,  31.974
1      ,台北外匯     ,20230818,  31.942
1      ,台北外匯     ,20230821,  31.965
1      ,台北外匯     ,20230822,  31.938
1      ,台北外匯     ,20230823,  31.926
1      ,台北外匯     ,20230824,  31.795
1      ,台北外匯     ,20230825,  31.850
1      ,台北外匯     ,20230828,  31.874
1      ,台北外匯     ,20230829,  31.884
1      ,台北外匯     ,20230830,  31.856
1      ,台北外匯     ,20230831,  31.854
1      ,台北外匯     ,20230901,  31.861
1      ,台北外匯     ,20230904,  31.880
1      ,台北外匯     ,20230905,  31.895
1      ,台北外匯     ,20230906,  31.967
1      ,台北外匯     ,20230907,  31.995
1      ,台北外匯     ,20230908,  32.008
1      ,台北外匯     ,20230911,  31.980
