證券代碼,簡稱,年月日,成交量(千股),報酬率％,本益比-TEJ
2809   ,京城銀       ,20221201,     1830,     1.1461,    48.2413
2305   ,全友         ,20221201,     2123,     1.0309,    99.6954
2809   ,京城銀       ,20221202,     1220,    -0.9915,    47.7630
2305   ,全友         ,20221202,     1968,    -1.8707,    97.8304
2809   ,京城銀       ,20221205,     3517,     0.4292,    47.9679
2305   ,全友         ,20221205,     1465,    -0.1733,    97.6608
2809   ,京城銀       ,20221206,     2359,    -2.4217,    46.8063
2305   ,全友         ,20221206,     1646,    -2.4306,    95.2871
2809   ,京城銀       ,20221207,     1222,     1.4599,    47.4896
2305   ,全友         ,20221207,     1743,    -2.6690,    92.7439
2809   ,京城銀       ,20221208,     3019,     1.5827,    48.2413
2305   ,全友         ,20221208,     1256,     2.7422,    95.2871
2809   ,京城銀       ,20221209,     3191,     1.4164,    48.9246
2305   ,全友         ,20221209,      963,    -1.7794,    93.5916
2809   ,京城銀       ,20221212,     4430,     0.1397,    48.9929
2305   ,全友         ,20221212,      853,     1.6304,    95.1176
2809   ,京城銀       ,20221213,     3116,     0.0000,    48.9929
2305   ,全友         ,20221213,      987,    -2.6738,    92.5743
2809   ,京城銀       ,20221214,     3342,     0.4184,    49.1979
2305   ,全友         ,20221214,      799,     2.0147,    94.4394
2809   ,京城銀       ,20221215,     4686,     1.6667,    50.0179
2305   ,全友         ,20221215,      738,    -1.2567,    93.2525
2809   ,京城銀       ,20221216,    14760,    -2.1858,    48.9246
2305   ,全友         ,20221216,     1156,    -2.1818,    91.2179
2809   ,京城銀       ,20221219,    18974,    -5.7263,    46.1230
2305   ,全友         ,20221219,      947,    -2.9740,    88.5051
2809   ,京城銀       ,20221220,    13450,     1.0370,    46.6013
2305   ,全友         ,20221220,     1328,    -3.6398,    85.2837
2809   ,京城銀       ,20221221,    15714,     0.1466,    46.6697
2305   ,全友         ,20221221,      768,     0.7952,    85.9619
2809   ,京城銀       ,20221222,    18556,     2.7818,    47.9679
2305   ,全友         ,20221222,      977,     0.5917,    86.4705
2809   ,京城銀       ,20221223,     3989,    -3.4188,    46.3280
2305   ,全友         ,20221223,     1136,     1.3725,    87.6574
2809   ,京城銀       ,20221226,     1857,    -1.0324,    45.8497
2305   ,全友         ,20221226,      841,     1.5474,    89.0138
2809   ,京城銀       ,20221227,     1853,     0.0000,    45.8497
2305   ,全友         ,20221227,     1119,     0.3810,    89.3529
2809   ,京城銀       ,20221228,     2912,    -1.1923,    45.3031
2305   ,全友         ,20221228,      572,    -3.2258,    86.4705
2809   ,京城銀       ,20221229,     1990,     0.9050,    45.7130
2305   ,全友         ,20221229,      568,     0.7843,    87.1487
2809   ,京城銀       ,20221230,     1454,     1.3453,    46.3280
2305   ,全友         ,20221230,      437,    -0.5837,    86.6401
2809   ,京城銀       ,20230103,      525,    -1.0324,    45.8497
2305   ,全友         ,20230103,      731,     2.9354,    89.1833
2809   ,京城銀       ,20230104,      769,    -0.1490,    45.7814
2305   ,全友         ,20230104,      806,     1.5209,    90.5397
2809   ,京城銀       ,20230105,     1578,     0.5970,    46.0547
2305   ,全友         ,20230105,      611,    -2.4345,    88.3356
2809   ,京城銀       ,20230106,     1470,     0.8902,    46.4647
2305   ,全友         ,20230106,      431,    -0.3839,    87.9965
2809   ,京城銀       ,20230109,     1740,     0.5882,    46.7380
2305   ,全友         ,20230109,      412,     0.3854,    88.3356
2809   ,京城銀       ,20230110,     1420,     0.1462,    46.8063
2305   ,全友         ,20230110,      521,    -1.9194,    86.6401
2809   ,京城銀       ,20230111,      949,     0.2920,    46.9430
2305   ,全友         ,20230111,      428,    -0.1957,    86.4705
2809   ,京城銀       ,20230112,      720,    -0.2911,    46.8063
2305   ,全友         ,20230112,      327,    -0.5882,    85.9619
2809   ,京城銀       ,20230113,      447,     0.2920,    46.9430
2305   ,全友         ,20230113,      381,    -1.3807,    84.7750
2809   ,京城銀       ,20230116,      717,     0.2911,    47.0797
2305   ,全友         ,20230116,      307,     1.0000,    85.6228
2809   ,京城銀       ,20230117,     2908,     1.4514,    47.7630
2305   ,全友         ,20230117,      282,     0.5941,    86.1314
2809   ,京城銀       ,20230130,     2935,     1.2876,    48.3779
2305   ,全友         ,20230130,      374,     1.9685,    87.8269
2809   ,京城銀       ,20230131,     3560,    -2.1186,    47.3530
2305   ,全友         ,20230131,      656,     1.9305,    89.5224
2809   ,京城銀       ,20230201,      956,     0.8658,    47.7630
2305   ,全友         ,20230201,      558,    -0.9470,    88.6747
2809   ,京城銀       ,20230202,      972,     0.7153,    48.1046
2305   ,全友         ,20230202,      647,     1.9120,    90.3702
2809   ,京城銀       ,20230203,     2254,     0.5682,    48.3779
2305   ,全友         ,20230203,      483,    -1.6886,    88.8442
2809   ,京城銀       ,20230206,     1250,    -0.2825,    48.2413
2305   ,全友         ,20230206,      294,    -0.9542,    87.9965
2809   ,京城銀       ,20230207,     1178,     0.2833,    48.3779
2305   ,全友         ,20230207,      308,     0.0000,    87.9965
2809   ,京城銀       ,20230208,      611,    -0.2825,    48.2413
2305   ,全友         ,20230208,      283,    -0.7707,    87.3183
2809   ,京城銀       ,20230209,     1316,    -1.2748,    47.6263
2305   ,全友         ,20230209,      453,    -0.9709,    86.4705
2809   ,京城銀       ,20230210,      830,    -0.2869,    47.4896
2305   ,全友         ,20230210,      653,    -1.9608,    84.7750
2809   ,京城銀       ,20230213,     1294,    -0.5755,    47.2163
2305   ,全友         ,20230213,      350,     1.4000,    85.9619
2809   ,京城銀       ,20230214,      789,     0.8683,    47.6263
2305   ,全友         ,20230214,      288,     0.7890,    86.6401
