證券代碼,簡稱,TSE新產業_名稱,年月日,報酬率％,成交量(千股),本益比-TEJ,本益比-TSE
2305   ,全友         ,電腦及週邊,20221201,     1.0309,     2123,    99.6954,    77.3700
2809   ,京城銀       ,金融業    ,20221201,     1.1461,     1830,    48.2413,    48.3600
Y9999  ,加權指數     ,-         ,20221201,     0.8955,  7511123,    11.3013,          -
2305   ,全友         ,電腦及週邊,20221202,    -1.8707,     1968,    97.8304,    75.9200
2809   ,京城銀       ,金融業    ,20221202,    -0.9915,     1220,    47.7630,    47.8800
Y9999  ,加權指數     ,-         ,20221202,    -0.2806,  5601577,    11.2703,          -
2305   ,全友         ,電腦及週邊,20221205,    -0.1733,     1465,    97.6608,    75.7900
2809   ,京城銀       ,金融業    ,20221205,     0.4292,     3517,    47.9679,    48.0800
Y9999  ,加權指數     ,-         ,20221205,     0.0672,  6107215,    11.2891,          -
2305   ,全友         ,電腦及週邊,20221206,    -2.4306,     1646,    95.2871,    73.9500
2809   ,京城銀       ,金融業    ,20221206,    -2.4217,     2359,    46.8063,    46.9200
Y9999  ,加權指數     ,-         ,20221206,    -1.6812,  6452710,    11.1004,          -
2305   ,全友         ,電腦及週邊,20221207,    -2.6690,     1743,    92.7439,    71.9700
2809   ,京城銀       ,金融業    ,20221207,     1.4599,     1222,    47.4896,    47.6000
Y9999  ,加權指數     ,-         ,20221207,    -0.6713,  6813484,    11.0275,          -
2305   ,全友         ,電腦及週邊,20221208,     2.7422,     1256,    95.2871,    73.9500
2809   ,京城銀       ,金融業    ,20221208,     1.5827,     3019,    48.2413,    48.3600
Y9999  ,加權指數     ,-         ,20221208,    -0.5261,  5406640,    10.9689,          -
2305   ,全友         ,電腦及週邊,20221209,    -1.7794,      963,    93.5916,    72.6300
2809   ,京城銀       ,金融業    ,20221209,     1.4164,     3191,    48.9246,    49.0400
Y9999  ,加權指數     ,-         ,20221209,     1.0471,  5485304,    11.0852,          -
2305   ,全友         ,電腦及週邊,20221212,     1.6304,      853,    95.1176,    73.8200
2809   ,京城銀       ,金融業    ,20221212,     0.1397,     4430,    48.9929,    49.1100
Y9999  ,加權指數     ,-         ,20221212,    -0.6313,  4583948,    11.0169,          -
2305   ,全友         ,電腦及週邊,20221213,    -2.6738,      987,    92.5743,    71.8400
2809   ,京城銀       ,金融業    ,20221213,     0.0000,     3116,    48.9929,    49.1100
Y9999  ,加權指數     ,-         ,20221213,    -0.6134,  4995730,    10.9491,          -
2305   ,全友         ,電腦及週邊,20221214,     2.0147,      799,    94.4394,    73.2900
2809   ,京城銀       ,金融業    ,20221214,     0.4184,     3342,    49.1979,    49.3200
Y9999  ,加權指數     ,-         ,20221214,     1.4901,  5425439,    11.1163,          -
2305   ,全友         ,電腦及週邊,20221215,    -1.2567,      738,    93.2525,    72.3700
2809   ,京城銀       ,金融業    ,20221215,     1.6667,     4686,    50.0179,    50.1400
Y9999  ,加權指數     ,-         ,20221215,    -0.0355,  5242285,    11.1134,          -
2305   ,全友         ,電腦及週邊,20221216,    -2.1818,     1156,    91.2179,    70.7900
2809   ,京城銀       ,金融業    ,20221216,    -2.1858,    14760,    48.9246,    49.0400
Y9999  ,加權指數     ,-         ,20221216,    -1.3953,  7782196,    10.9597,          -
2305   ,全友         ,電腦及週邊,20221219,    -2.9740,      947,    88.5051,    68.6800
2809   ,京城銀       ,金融業    ,20221219,    -5.7263,    18974,    46.1230,    46.2300
Y9999  ,加權指數     ,-         ,20221219,    -0.6555,  5688846,    10.8881,          -
2305   ,全友         ,電腦及週邊,20221220,    -3.6398,     1328,    85.2837,    66.1800
2809   ,京城銀       ,金融業    ,20221220,     1.0370,    13450,    46.6013,    46.7100
Y9999  ,加權指數     ,-         ,20221220,    -1.8242,  7111544,    10.6908,          -
2305   ,全友         ,電腦及週邊,20221221,     0.7952,      768,    85.9619,    66.7100
2809   ,京城銀       ,金融業    ,20221221,     0.1466,    15714,    46.6697,    46.7800
Y9999  ,加權指數     ,-         ,20221221,     0.4543,  5608140,    10.7384,          -
2305   ,全友         ,電腦及週邊,20221222,     0.5917,      977,    86.4705,    67.1100
2809   ,京城銀       ,金融業    ,20221222,     2.7818,    18556,    47.9679,    48.0800
Y9999  ,加權指數     ,-         ,20221222,     1.4650,  5575432,    10.8951,          -
2305   ,全友         ,電腦及週邊,20221223,     1.3725,     1136,    87.6574,    68.0300
2809   ,京城銀       ,金融業    ,20221223,    -3.4188,     3989,    46.3280,    46.4400
Y9999  ,加權指數     ,-         ,20221223,    -1.1861,  4245235,    10.7653,          -
2305   ,全友         ,電腦及週邊,20221226,     1.5474,      841,    89.0138,    69.0800
2809   ,京城銀       ,金融業    ,20221226,    -1.0324,     1857,    45.8497,    45.9600
Y9999  ,加權指數     ,-         ,20221226,     0.0946,  3106471,    10.7765,          -
2305   ,全友         ,電腦及週邊,20221227,     0.3810,     1119,    89.3529,    69.3400
2809   ,京城銀       ,金融業    ,20221227,     0.0000,     1853,    45.8497,    45.9600
Y9999  ,加權指數     ,-         ,20221227,     0.3031,  3659061,    10.8084,          -
2305   ,全友         ,電腦及週邊,20221228,    -3.2258,      572,    86.4705,    67.1100
2809   ,京城銀       ,金融業    ,20221228,    -1.1923,     2912,    45.3031,    45.4100
Y9999  ,加權指數     ,-         ,20221228,    -1.0841,  4430499,    10.6923,          -
2305   ,全友         ,電腦及週邊,20221229,     0.7843,      568,    87.1487,    67.6300
2809   ,京城銀       ,金融業    ,20221229,     0.9050,     1990,    45.7130,    45.8200
Y9999  ,加權指數     ,-         ,20221229,    -0.6215,  4180927,    10.6258,          -
2305   ,全友         ,電腦及週邊,20221230,    -0.5837,      437,    86.6401,    67.2400
2809   ,京城銀       ,金融業    ,20221230,     1.3453,     1454,    46.3280,    46.4400
